latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54149,13.359375,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm)
2024-05-21T03:00,9.6,84,0.00
2024-05-21T04:00,9.7,86,0.00
2024-05-21T05:00,10.2,85,0.00
2024-05-21T06:00,10.8,83,0.00
2024-05-21T07:00,11.7,80,0.00
2024-05-21T08:00,12.7,75,0.00
2024-05-21T09:00,13.8,71,0.00
2024-05-21T10:00,15.0,67,0.00
2024-05-21T11:00,16.2,63,0.00
2024-05-21T12:00,17.3,59,0.00
2024-05-21T13:00,18.4,56,0.00
2024-05-21T14:00,19.3,53,0.00
2024-05-21T15:00,19.7,52,0.00
2024-05-21T16:00,19.5,53,0.00
2024-05-21T17:00,18.8,56,0.00
2024-05-21T18:00,18.0,59,0.00
2024-05-21T19:00,17.3,61,0.00
2024-05-21T20:00,16.5,64,0.00
2024-05-21T21:00,15.7,66,0.00
2024-05-21T22:00,15.0,69,0.00
2024-05-21T23:00,14.2,72,0.00
